cve_id,component,severity,cvss_vector,cvss_version,base_score,AV,AC,PR,UI,S,C,I,A
CVE-2025-7114,simstudioai,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L,3.1,7.3,N,L,N,N,U,L,L,L
CVE-2025-9800,simstudioai,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1,6.0,N,L,N,R,C,L,L,N
CVE-2025-9801,simstudioai,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:H,3.1,8.0,N,L,L,N,U,N,H,H
CVE-2025-9805,simstudioai,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1,7.5,N,L,N,N,U,H,N,N
CVE-2026-6582,superagi,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L,3.1,7.3,N,L,N,N,U,L,L,L
CVE-2026-35050,text-generation-webui,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H,3.1,9.0,N,L,H,N,C,H,H,H
CVE-2023-31036,triton-inference-server,HIGH,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1,7.5,N,H,L,N,U,H,H,H
CVE-2024-0087,triton-inference-server,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:L/A:H,3.1,8.9,N,L,H,N,C,H,L,H
CVE-2024-0088,triton-inference-server,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:L/I:L/A:H,3.1,5.4,N,H,H,N,U,L,L,H
CVE-2024-0095,triton-inference-server,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:L/A:H,3.1,8.9,N,L,H,N,C,H,L,H
CVE-2024-0100,triton-inference-server,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:H,3.1,6.4,N,L,H,N,U,N,H,H
CVE-2024-0103,triton-inference-server,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,3.1,5.3,N,L,L,N,U,L,L,N
CVE-2024-0116,triton-inference-server,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H,3.1,4.8,N,L,H,N,U,N,N,H
CVE-2024-53880,triton-inference-server,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H,3.1,4.8,N,L,H,N,U,N,N,H
CVE-2025-23268,triton-inference-server,HIGH,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:C/C:H/I:H/A:H,3.1,7.9,N,H,H,N,C,H,H,H
CVE-2025-23310,triton-inference-server,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,9.8,N,L,N,N,U,H,H,H
CVE-2025-23311,triton-inference-server,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,9.8,N,L,N,N,U,H,H,H
CVE-2025-23316,triton-inference-server,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H,3.1,4.8,N,L,H,N,U,N,N,H
CVE-2025-23317,triton-inference-server,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H,3.1,9.1,N,L,N,N,U,N,H,H
CVE-2025-23318,triton-inference-server,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,8.1,N,H,N,N,U,H,H,H
CVE-2025-23319,triton-inference-server,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,8.1,N,H,N,N,U,H,H,H
CVE-2025-23320,triton-inference-server,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1,7.5,N,L,N,N,U,H,N,N
CVE-2025-23321,triton-inference-server,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1,7.5,N,L,N,N,U,N,N,H
CVE-2025-23322,triton-inference-server,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1,7.5,N,L,N,N,U,N,N,H
CVE-2025-23323,triton-inference-server,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1,7.5,N,L,N,N,U,N,N,H
CVE-2025-23324,triton-inference-server,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1,7.5,N,L,N,N,U,N,N,H
CVE-2025-23325,triton-inference-server,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1,7.5,N,L,N,N,U,N,N,H
CVE-2025-23326,triton-inference-server,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1,7.5,N,L,N,N,U,N,N,H
CVE-2025-23327,triton-inference-server,HIGH,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,3.1,7.5,N,H,L,N,U,H,H,H
CVE-2025-23328,triton-inference-server,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1,7.5,N,L,N,N,U,N,N,H
CVE-2025-23329,triton-inference-server,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1,7.5,N,L,N,N,U,N,N,H
CVE-2025-23331,triton-inference-server,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1,7.5,N,L,N,N,U,N,N,H
CVE-2025-23333,triton-inference-server,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1,5.8,N,H,N,N,U,H,N,N
CVE-2025-23334,triton-inference-server,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,3.1,5.8,N,H,N,N,U,H,N,N
CVE-2025-23335,triton-inference-server,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:N/I:N/A:H,3.1,4.3,N,H,H,N,U,N,N,H
CVE-2025-23336,triton-inference-server,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:N/I:N/A:H,3.1,4.3,N,H,H,N,U,N,N,H
CVE-2025-33202,triton-inference-server,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,3.1,6.4,N,L,L,N,U,N,N,H
